trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.7, 'e': 0.4448580662229411}",25,0,-33.814886636484104,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.7, 'e': 0.44043165450599925}",30,17,16.34106539244845,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.7, 'e': 0.43604928632153556}",25,6,6.715432571350414,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.43171052342907973}",20,0,-66.56945599063116,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
85,False,"{'a': 0.7, 'e': 0.4274149319487267}",30,15,17.950887249369234,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.4231620823177488}",20,0,-91.66696009138172,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
87,False,"{'a': 0.7, 'e': 0.418951549247639}",20,13,2.301478315410261,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.4147829116815814}",25,17,1.9152740731150046,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.4106557527523455}",30,20,16.519339826393576,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.4065696597405991}",20,10,7.4356926487936,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.40252422403363597}",20,6,26.7056668118497,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.7, 'e': 0.3985190410845142}",20,0,-23.429263047134658,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.7, 'e': 0.39455371037160114}",25,4,12.42610609054393,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.3906278353585211}",25,0,-0.3409664442507585,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
