trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,0,-63.6314111819449,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,0,-1.3175817340810791,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",30,12,-12.466029198519376,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,10,16.30049416334908,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111554}",20,0,-19.04099029077094,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.34645581033005746}",30,10,-22.491330249242615,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.3430085174187067}",20,0,-35.445963103645056,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.33959552564493917}",20,4,-40.46263549139529,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.33621649370673334}",25,17,1.5619518376387078,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,10,-42.536480939587754,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,16,-16.969342194548968,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,0,-1.6325887112950275,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,0,-6.483674437796614,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.3198190218163039}",30,14,-21.45772535883469,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.3166367693790532}",30,6,-21.956803420878167,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,0,4.622141822094575,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,0,3.9490852218643147,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,7,20.94435607826814,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,1,-67.51449300139355,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 2}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,11,-28.15052699975297,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,8,21.369368150664247,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,7,-39.18050282875673,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
